Comment,Sentiment,Category,Language
Imiqondiso yesixeko ayicacanga. Kuyaphazamisa abahambi!,Positive,Traffic,Xhosa
Rea leboga boitekanelo bo bolokehileng bosiu.,Negative,Urban Living,Sotho
Ke kopa tlhaloso mabapi le ditirelo tse di kwa tlase.,Neutral,Recreation,Afrikaans
Die stede se beligting is uitstekend!,Positive,Digital Services,English
Johannesburg se strate het te veel slaggate.,Negative,Urban Development,Zulu
Ek hou van die oop ruimtes in die parke.,Neutral,Infrastructure,Xhosa
Goli ibalulekile ngokuphila okuzinzile.,Positive,Health Services,Sotho
Traffic jams in the CBD are unbearable during peak hours.,Negative,Transportation,Afrikaans
The new public transport system is efficient and reliable.,Neutral,Mobile Phones,English
Imifanekiso ethathwe kule fowuni ibalasele kakhulu!,Positive,Customer Support,Zulu
Izithuthi zamagqirha eGoli zibalulekile!,Negative,Public Safety,Xhosa
Ke kopa tlhaloso ka ditshebeletso tse itseng ka tsela ya marang-rang.,Neutral,Traffic,Sotho
The city is vibrant but overcrowded.,Positive,Urban Living,Afrikaans
"Amabhanoyi enza kahle emsebenzini, kodwa amanani aphezulu.",Negative,Recreation,English
"Ucingo luhlala luhlaza, izithombe zibhakabhaka!",Positive,Infrastructure,Zulu
"Ngifuna ukushintsha lo smartphone, ushayela njalo.",Negative,Health Services,Xhosa
The service is terrible. I waited forever for a response!,Neutral,Transportation,Sotho
Izithombe ze kamera yalo zithokozisa.,Positive,Mobile Phones,Afrikaans
"Ngithumele into engalungile, isikhathi sokubuyisela sizolunga?",Negative,Customer Support,English
Ndiyathanda indlela leyo yokulawula izithuthi esixekweni.,Neutral,Public Safety,Zulu
Imiqondiso yesixeko ayicacanga. Kuyaphazamisa abahambi!,Positive,Traffic,Xhosa
Rea leboga boitekanelo bo bolokehileng bosiu.,Negative,Urban Living,Sotho
Ke kopa tlhaloso mabapi le ditirelo tse di kwa tlase.,Neutral,Recreation,Afrikaans
Die stede se beligting is uitstekend!,Positive,Digital Services,English
Johannesburg se strate het te veel slaggate.,Negative,Urban Development,Zulu
Ek hou van die oop ruimtes in die parke.,Neutral,Infrastructure,Xhosa
Goli ibalulekile ngokuphila okuzinzile.,Positive,Health Services,Sotho
Traffic jams in the CBD are unbearable during peak hours.,Negative,Transportation,Afrikaans
The new public transport system is efficient and reliable.,Neutral,Mobile Phones,English
Imifanekiso ethathwe kule fowuni ibalasele kakhulu!,Positive,Customer Support,Zulu
Izithuthi zamagqirha eGoli zibalulekile!,Negative,Public Safety,Xhosa
Ke kopa tlhaloso ka ditshebeletso tse itseng ka tsela ya marang-rang.,Neutral,Traffic,Sotho
The city is vibrant but overcrowded.,Positive,Urban Living,Afrikaans
"Amabhanoyi enza kahle emsebenzini, kodwa amanani aphezulu.",Negative,Recreation,English
"Ucingo luhlala luhlaza, izithombe zibhakabhaka!",Positive,Infrastructure,Zulu
"Ngifuna ukushintsha lo smartphone, ushayela njalo.",Negative,Health Services,Xhosa
The service is terrible. I waited forever for a response!,Neutral,Transportation,Sotho
Izithombe ze kamera yalo zithokozisa.,Positive,Mobile Phones,Afrikaans
"Ngithumele into engalungile, isikhathi sokubuyisela sizolunga?",Negative,Customer Support,English
Ndiyathanda indlela leyo yokulawula izithuthi esixekweni.,Neutral,Public Safety,Zulu
Imiqondiso yesixeko ayicacanga. Kuyaphazamisa abahambi!,Positive,Traffic,Xhosa
Rea leboga boitekanelo bo bolokehileng bosiu.,Negative,Urban Living,Sotho
Ke kopa tlhaloso mabapi le ditirelo tse di kwa tlase.,Neutral,Recreation,Afrikaans
Die stede se beligting is uitstekend!,Positive,Digital Services,English
Johannesburg se strate het te veel slaggate.,Negative,Urban Development,Zulu
Ek hou van die oop ruimtes in die parke.,Neutral,Infrastructure,Xhosa
Goli ibalulekile ngokuphila okuzinzile.,Positive,Health Services,Sotho
Traffic jams in the CBD are unbearable during peak hours.,Negative,Transportation,Afrikaans
The new public transport system is efficient and reliable.,Neutral,Mobile Phones,English
Imifanekiso ethathwe kule fowuni ibalasele kakhulu!,Positive,Customer Support,Zulu
Izithuthi zamagqirha eGoli zibalulekile!,Negative,Public Safety,Xhosa
Ke kopa tlhaloso ka ditshebeletso tse itseng ka tsela ya marang-rang.,Neutral,Traffic,Sotho
The city is vibrant but overcrowded.,Positive,Urban Living,Afrikaans
"Amabhanoyi enza kahle emsebenzini, kodwa amanani aphezulu.",Negative,Recreation,English
"Ucingo luhlala luhlaza, izithombe zibhakabhaka!",Positive,Infrastructure,Zulu
"Ngifuna ukushintsha lo smartphone, ushayela njalo.",Negative,Health Services,Xhosa
The service is terrible. I waited forever for a response!,Neutral,Transportation,Sotho
Izithombe ze kamera yalo zithokozisa.,Positive,Mobile Phones,Afrikaans
"Ngithumele into engalungile, isikhathi sokubuyisela sizolunga?",Negative,Customer Support,English
Ndiyathanda indlela leyo yokulawula izithuthi esixekweni.,Neutral,Public Safety,Zulu
Imiqondiso yesixeko ayicacanga. Kuyaphazamisa abahambi!,Positive,Traffic,Xhosa
Rea leboga boitekanelo bo bolokehileng bosiu.,Negative,Urban Living,Sotho
Ke kopa tlhaloso mabapi le ditirelo tse di kwa tlase.,Neutral,Recreation,Afrikaans
Die stede se beligting is uitstekend!,Positive,Digital Services,English
Johannesburg se strate het te veel slaggate.,Negative,Urban Development,Zulu
Ek hou van die oop ruimtes in die parke.,Neutral,Infrastructure,Xhosa
Goli ibalulekile ngokuphila okuzinzile.,Positive,Health Services,Sotho
Traffic jams in the CBD are unbearable during peak hours.,Negative,Transportation,Afrikaans
The new public transport system is efficient and reliable.,Neutral,Mobile Phones,English
Imifanekiso ethathwe kule fowuni ibalasele kakhulu!,Positive,Customer Support,Zulu
Izithuthi zamagqirha eGoli zibalulekile!,Negative,Public Safety,Xhosa
Ke kopa tlhaloso ka ditshebeletso tse itseng ka tsela ya marang-rang.,Neutral,Traffic,Sotho
The city is vibrant but overcrowded.,Positive,Urban Living,Afrikaans
"Amabhanoyi enza kahle emsebenzini, kodwa amanani aphezulu.",Negative,Recreation,English
"Ucingo luhlala luhlaza, izithombe zibhakabhaka!",Positive,Infrastructure,Zulu
"Ngifuna ukushintsha lo smartphone, ushayela njalo.",Negative,Health Services,Xhosa
The service is terrible. I waited forever for a response!,Neutral,Transportation,Sotho
Izithombe ze kamera yalo zithokozisa.,Positive,Mobile Phones,Afrikaans
"Ngithumele into engalungile, isikhathi sokubuyisela sizolunga?",Negative,Customer Support,English
Ndiyathanda indlela leyo yokulawula izithuthi esixekweni.,Neutral,Public Safety,Zulu
Imiqondiso yesixeko ayicacanga. Kuyaphazamisa abahambi!,Positive,Traffic,Xhosa
Rea leboga boitekanelo bo bolokehileng bosiu.,Negative,Urban Living,Sotho
Ke kopa tlhaloso mabapi le ditirelo tse di kwa tlase.,Neutral,Recreation,Afrikaans
Die stede se beligting is uitstekend!,Positive,Digital Services,English
Johannesburg se strate het te veel slaggate.,Negative,Urban Development,Zulu
Ek hou van die oop ruimtes in die parke.,Neutral,Infrastructure,Xhosa
Goli ibalulekile ngokuphila okuzinzile.,Positive,Health Services,Sotho
Traffic jams in the CBD are unbearable during peak hours.,Negative,Transportation,Afrikaans
The new public transport system is efficient and reliable.,Neutral,Mobile Phones,English
Imifanekiso ethathwe kule fowuni ibalasele kakhulu!,Positive,Customer Support,Zulu
Izithuthi zamagqirha eGoli zibalulekile!,Negative,Public Safety,Xhosa
Ke kopa tlhaloso ka ditshebeletso tse itseng ka tsela ya marang-rang.,Neutral,Traffic,Sotho
The city is vibrant but overcrowded.,Positive,Urban Living,Afrikaans
"Amabhanoyi enza kahle emsebenzini, kodwa amanani aphezulu.",Negative,Recreation,English
"Ucingo luhlala luhlaza, izithombe zibhakabhaka!",Positive,Infrastructure,Zulu
"Ngifuna ukushintsha lo smartphone, ushayela njalo.",Negative,Health Services,Xhosa
The service is terrible. I waited forever for a response!,Neutral,Transportation,Sotho
Izithombe ze kamera yalo zithokozisa.,Positive,Mobile Phones,Afrikaans
"Ngithumele into engalungile, isikhathi sokubuyisela sizolunga?",Negative,Customer Support,English
Ndiyathanda indlela leyo yokulawula izithuthi esixekweni.,Neutral,Public Safety,Zulu
Imiqondiso yesixeko ayicacanga. Kuyaphazamisa abahambi!,Positive,Traffic,Xhosa
Rea leboga boitekanelo bo bolokehileng bosiu.,Negative,Urban Living,Sotho
Ke kopa tlhaloso mabapi le ditirelo tse di kwa tlase.,Neutral,Recreation,Afrikaans
Die stede se beligting is uitstekend!,Positive,Digital Services,English
Johannesburg se strate het te veel slaggate.,Negative,Urban Development,Zulu
Ek hou van die oop ruimtes in die parke.,Neutral,Infrastructure,Xhosa
Goli ibalulekile ngokuphila okuzinzile.,Positive,Health Services,Sotho
Traffic jams in the CBD are unbearable during peak hours.,Negative,Transportation,Afrikaans
The new public transport system is efficient and reliable.,Neutral,Mobile Phones,English
Imifanekiso ethathwe kule fowuni ibalasele kakhulu!,Positive,Customer Support,Zulu
Izithuthi zamagqirha eGoli zibalulekile!,Negative,Public Safety,Xhosa
Ke kopa tlhaloso ka ditshebeletso tse itseng ka tsela ya marang-rang.,Neutral,Traffic,Sotho
The city is vibrant but overcrowded.,Positive,Urban Living,Afrikaans
"Amabhanoyi enza kahle emsebenzini, kodwa amanani aphezulu.",Negative,Recreation,English
"Ucingo luhlala luhlaza, izithombe zibhakabhaka!",Positive,Infrastructure,Zulu
"Ngifuna ukushintsha lo smartphone, ushayela njalo.",Negative,Health Services,Xhosa
The service is terrible. I waited forever for a response!,Neutral,Transportation,Sotho
Izithombe ze kamera yalo zithokozisa.,Positive,Mobile Phones,Afrikaans
"Ngithumele into engalungile, isikhathi sokubuyisela sizolunga?",Negative,Customer Support,English
Ndiyathanda indlela leyo yokulawula izithuthi esixekweni.,Neutral,Public Safety,Zulu
Imiqondiso yesixeko ayicacanga. Kuyaphazamisa abahambi!,Positive,Traffic,Xhosa
Rea leboga boitekanelo bo bolokehileng bosiu.,Negative,Urban Living,Sotho
Ke kopa tlhaloso mabapi le ditirelo tse di kwa tlase.,Neutral,Recreation,Afrikaans
Die stede se beligting is uitstekend!,Positive,Digital Services,English
Johannesburg se strate het te veel slaggate.,Negative,Urban Development,Zulu
Ek hou van die oop ruimtes in die parke.,Neutral,Infrastructure,Xhosa
Goli ibalulekile ngokuphila okuzinzile.,Positive,Health Services,Sotho
Traffic jams in the CBD are unbearable during peak hours.,Negative,Transportation,Afrikaans
The new public transport system is efficient and reliable.,Neutral,Mobile Phones,English
Imifanekiso ethathwe kule fowuni ibalasele kakhulu!,Positive,Customer Support,Zulu
Izithuthi zamagqirha eGoli zibalulekile!,Negative,Public Safety,Xhosa
Ke kopa tlhaloso ka ditshebeletso tse itseng ka tsela ya marang-rang.,Neutral,Traffic,Sotho
The city is vibrant but overcrowded.,Positive,Urban Living,Afrikaans
"Amabhanoyi enza kahle emsebenzini, kodwa amanani aphezulu.",Negative,Recreation,English
"Ucingo luhlala luhlaza, izithombe zibhakabhaka!",Positive,Infrastructure,Zulu
"Ngifuna ukushintsha lo smartphone, ushayela njalo.",Negative,Health Services,Xhosa
The service is terrible. I waited forever for a response!,Neutral,Transportation,Sotho
Izithombe ze kamera yalo zithokozisa.,Positive,Mobile Phones,Afrikaans
"Ngithumele into engalungile, isikhathi sokubuyisela sizolunga?",Negative,Customer Support,English
Ndiyathanda indlela leyo yokulawula izithuthi esixekweni.,Neutral,Public Safety,Zulu
Imiqondiso yesixeko ayicacanga. Kuyaphazamisa abahambi!,Positive,Traffic,Xhosa
Rea leboga boitekanelo bo bolokehileng bosiu.,Negative,Urban Living,Sotho
Ke kopa tlhaloso mabapi le ditirelo tse di kwa tlase.,Neutral,Recreation,Afrikaans
Die stede se beligting is uitstekend!,Positive,Digital Services,English
Johannesburg se strate het te veel slaggate.,Negative,Urban Development,Zulu
Ek hou van die oop ruimtes in die parke.,Neutral,Infrastructure,Xhosa
Goli ibalulekile ngokuphila okuzinzile.,Positive,Health Services,Sotho
Traffic jams in the CBD are unbearable during peak hours.,Negative,Transportation,Afrikaans
The new public transport system is efficient and reliable.,Neutral,Mobile Phones,English
Imifanekiso ethathwe kule fowuni ibalasele kakhulu!,Positive,Customer Support,Zulu
Izithuthi zamagqirha eGoli zibalulekile!,Negative,Public Safety,Xhosa
Ke kopa tlhaloso ka ditshebeletso tse itseng ka tsela ya marang-rang.,Neutral,Traffic,Sotho
The city is vibrant but overcrowded.,Positive,Urban Living,Afrikaans
"Amabhanoyi enza kahle emsebenzini, kodwa amanani aphezulu.",Negative,Recreation,English
"Ucingo luhlala luhlaza, izithombe zibhakabhaka!",Positive,Infrastructure,Zulu
"Ngifuna ukushintsha lo smartphone, ushayela njalo.",Negative,Health Services,Xhosa
The service is terrible. I waited forever for a response!,Neutral,Transportation,Sotho
Izithombe ze kamera yalo zithokozisa.,Positive,Mobile Phones,Afrikaans
"Ngithumele into engalungile, isikhathi sokubuyisela sizolunga?",Negative,Customer Support,English
Ndiyathanda indlela leyo yokulawula izithuthi esixekweni.,Neutral,Public Safety,Zulu
Imiqondiso yesixeko ayicacanga. Kuyaphazamisa abahambi!,Positive,Traffic,Xhosa
Rea leboga boitekanelo bo bolokehileng bosiu.,Negative,Urban Living,Sotho
Ke kopa tlhaloso mabapi le ditirelo tse di kwa tlase.,Neutral,Recreation,Afrikaans
Die stede se beligting is uitstekend!,Positive,Digital Services,English
Johannesburg se strate het te veel slaggate.,Negative,Urban Development,Zulu
Ek hou van die oop ruimtes in die parke.,Neutral,Infrastructure,Xhosa
Goli ibalulekile ngokuphila okuzinzile.,Positive,Health Services,Sotho
Traffic jams in the CBD are unbearable during peak hours.,Negative,Transportation,Afrikaans
The new public transport system is efficient and reliable.,Neutral,Mobile Phones,English
Imifanekiso ethathwe kule fowuni ibalasele kakhulu!,Positive,Customer Support,Zulu
Izithuthi zamagqirha eGoli zibalulekile!,Negative,Public Safety,Xhosa
Ke kopa tlhaloso ka ditshebeletso tse itseng ka tsela ya marang-rang.,Neutral,Traffic,Sotho
The city is vibrant but overcrowded.,Positive,Urban Living,Afrikaans
"Amabhanoyi enza kahle emsebenzini, kodwa amanani aphezulu.",Negative,Recreation,English
"Ucingo luhlala luhlaza, izithombe zibhakabhaka!",Positive,Infrastructure,Zulu
"Ngifuna ukushintsha lo smartphone, ushayela njalo.",Negative,Health Services,Xhosa
The service is terrible. I waited forever for a response!,Neutral,Transportation,Sotho
Izithombe ze kamera yalo zithokozisa.,Positive,Mobile Phones,Afrikaans
"Ngithumele into engalungile, isikhathi sokubuyisela sizolunga?",Negative,Customer Support,English
Ndiyathanda indlela leyo yokulawula izithuthi esixekweni.,Neutral,Public Safety,Zulu
Imiqondiso yesixeko ayicacanga. Kuyaphazamisa abahambi!,Positive,Traffic,Xhosa
Rea leboga boitekanelo bo bolokehileng bosiu.,Negative,Urban Living,Sotho
Ke kopa tlhaloso mabapi le ditirelo tse di kwa tlase.,Neutral,Recreation,Afrikaans
Die stede se beligting is uitstekend!,Positive,Digital Services,English
Johannesburg se strate het te veel slaggate.,Negative,Urban Development,Zulu
Ek hou van die oop ruimtes in die parke.,Neutral,Infrastructure,Xhosa
Goli ibalulekile ngokuphila okuzinzile.,Positive,Health Services,Sotho
Traffic jams in the CBD are unbearable during peak hours.,Negative,Transportation,Afrikaans
The new public transport system is efficient and reliable.,Neutral,Mobile Phones,English
Imifanekiso ethathwe kule fowuni ibalasele kakhulu!,Positive,Customer Support,Zulu
Izithuthi zamagqirha eGoli zibalulekile!,Negative,Public Safety,Xhosa
Ke kopa tlhaloso ka ditshebeletso tse itseng ka tsela ya marang-rang.,Neutral,Traffic,Sotho
The city is vibrant but overcrowded.,Positive,Urban Living,Afrikaans
"Amabhanoyi enza kahle emsebenzini, kodwa amanani aphezulu.",Negative,Recreation,English
"Ucingo luhlala luhlaza, izithombe zibhakabhaka!",Positive,Infrastructure,Zulu
"Ngifuna ukushintsha lo smartphone, ushayela njalo.",Negative,Health Services,Xhosa
The service is terrible. I waited forever for a response!,Neutral,Transportation,Sotho
Izithombe ze kamera yalo zithokozisa.,Positive,Mobile Phones,Afrikaans
"Ngithumele into engalungile, isikhathi sokubuyisela sizolunga?",Negative,Customer Support,English
Ndiyathanda indlela leyo yokulawula izithuthi esixekweni.,Neutral,Public Safety,Zulu
Imiqondiso yesixeko ayicacanga. Kuyaphazamisa abahambi!,Positive,Traffic,Xhosa
Rea leboga boitekanelo bo bolokehileng bosiu.,Negative,Urban Living,Sotho
Ke kopa tlhaloso mabapi le ditirelo tse di kwa tlase.,Neutral,Recreation,Afrikaans
Die stede se beligting is uitstekend!,Positive,Digital Services,English
Johannesburg se strate het te veel slaggate.,Negative,Urban Development,Zulu
Ek hou van die oop ruimtes in die parke.,Neutral,Infrastructure,Xhosa
Goli ibalulekile ngokuphila okuzinzile.,Positive,Health Services,Sotho
Traffic jams in the CBD are unbearable during peak hours.,Negative,Transportation,Afrikaans
The new public transport system is efficient and reliable.,Neutral,Mobile Phones,English
Imifanekiso ethathwe kule fowuni ibalasele kakhulu!,Positive,Customer Support,Zulu
Izithuthi zamagqirha eGoli zibalulekile!,Negative,Public Safety,Xhosa
Ke kopa tlhaloso ka ditshebeletso tse itseng ka tsela ya marang-rang.,Neutral,Traffic,Sotho
The city is vibrant but overcrowded.,Positive,Urban Living,Afrikaans
"Amabhanoyi enza kahle emsebenzini, kodwa amanani aphezulu.",Negative,Recreation,English
"Ucingo luhlala luhlaza, izithombe zibhakabhaka!",Positive,Infrastructure,Zulu
"Ngifuna ukushintsha lo smartphone, ushayela njalo.",Negative,Health Services,Xhosa
The service is terrible. I waited forever for a response!,Neutral,Transportation,Sotho
